Hechos_Id,Año,Mes,Dia,Día Semana,Franja Horaria,Estación_Id
2019-0021,2019,Marzo,15,Viernes,22,2
2019-0022,2019,Marzo,15,Viernes,0,2
2019-0023,2019,Marzo,16,Sábado,8,2
2019-0024,2019,Marzo,19,Martes,7,2
2019-0025,2019,Marzo,22,Viernes,13,2
2019-0026,2019,Marzo,28,Jueves,7,2
2019-0027,2019,Marzo,28,Jueves,11,2
2019-0028,2019,Abril,6,Sábado,9,2
2019-0029,2019,Abril,7,Domingo,10,2
2019-0030,2019,Abril,9,Martes,16,2
2019-0031,2019,Abril,12,Viernes,19,2
2019-0032,2019,Abril,16,Martes,11,2
2019-0033,2019,Abril,18,Jueves,1,2
2019-0034,2019,Abril,21,Domingo,9,2
2019-0035,2019,Abril,23,Martes,14,2
2019-0036,2019,Abril,26,Viernes,22,2
2019-0037,2019,Mayo,1,Miércoles,23,2
2019-0038,2019,Mayo,4,Sábado,14,2
2019-0039,2019,Mayo,9,Jueves,3,2
2019-0040,2019,Mayo,9,Jueves,12,2
2019-0041,2019,Mayo,11,Sábado,20,2
2019-0042,2019,Mayo,14,Martes,15,2
2019-0043,2019,Mayo,21,Martes,9,2
2019-0044,2019,Mayo,27,Lunes,12,2
2019-0045,2019,Junio,3,Lunes,7,3
2019-0046,2019,Junio,4,Martes,9,3
2019-0047,2019,Junio,6,Jueves,10,3
2019-0048,2019,Junio,7,Viernes,7,3
2019-0049,2019,Junio,8,Sábado,9,3
2019-0050,2019,Junio,8,Sábado,23,3
2019-0051,2019,Junio,11,Martes,10,3
2019-0053,2019,Junio,14,Viernes,17,3
2019-0054,2019,Junio,20,Jueves,3,3
2019-0055,2019,Junio,20,Jueves,19,3
2019-0056,2019,Junio,29,Sábado,17,3
2019-0057,2019,Julio,5,Viernes,19,3
2019-0058,2019,Julio,10,Miércoles,9,3
2019-0059,2019,Julio,13,Sábado,22,3
2019-0060,2019,Julio,17,Miércoles,11,3
2019-0061,2019,Julio,17,Miércoles,18,3
2019-0062,2019,Agosto,1,Jueves,23,3
2019-0063,2019,Agosto,4,Domingo,1,3
2019-0064,2019,Agosto,6,Martes,3,3
2019-0065,2019,Agosto,8,Jueves,16,3
2019-0066,2019,Agosto,11,Domingo,21,3
2019-0067,2019,Agosto,14,Miércoles,15,3
2019-0068,2019,Agosto,14,Miércoles,17,3
2019-0069,2019,Agosto,17,Sábado,5,3
2019-0070,2019,Agosto,22,Jueves,12,3
2019-0071,2019,Agosto,27,Martes,11,3
2019-0072,2019,Agosto,28,Miércoles,6,3
2019-0073,2019,Agosto,29,Jueves,1,3
2019-0074,2019,Agosto,29,Jueves,9,3
2019-0075,2019,Agosto,30,Viernes,23,3
2019-0076,2019,Septiembre,5,Jueves,18,4
2019-0077,2019,Septiembre,8,Domingo,3,4
2019-0078,2019,Septiembre,12,Jueves,8,4
2019-0079,2019,Septiembre,17,Martes,5,4
2019-0080,2019,Septiembre,17,Martes,18,4
2019-0081,2019,Septiembre,23,Lunes,16,4
2019-0082,2019,Septiembre,25,Miércoles,7,4
2019-0083,2019,Septiembre,26,Jueves,8,4
2019-0084,2019,Septiembre,27,Viernes,11,4
2019-0085,2019,Octubre,9,Miércoles,22,4
2019-0086,2019,Octubre,15,Martes,14,4
2019-0087,2019,Octubre,21,Lunes,21,4
2019-0088,2019,Octubre,22,Martes,20,4
2019-0089,2019,Octubre,23,Miércoles,15,4
2019-0090,2019,Octubre,24,Jueves,18,4
2019-0091,2019,Noviembre,1,Viernes,20,4
