Hechos_Id,Número De Victimas,Fecha,Año,Mes,Dia,Día Semana,Estación,Hora,Franja Horaria,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Comuna,Barrio,Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Rango Etario
2016-0086,1,2016-06-30,2016,Junio,30,Jueves,Invierno,16:10:00,16,AV OLIVERA Y RAMON FALCON,AVENIDA,OLIVERA AV.,True,Comuna 10,Velez Sarsfield,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,75,61+
2016-0087,1,2016-07-02,2016,Julio,3,Sábado,Invierno,00:10:00,0,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI Y AV CASEROS,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False,Comuna 4,Barracas,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,23,19-25
2016-0088,1,2016-07-11,2016,Julio,11,Lunes,Invierno,15:30:00,15,CERETTI Y NUÑEZ,CALLE,CERETTI,True,Comuna 12,Villa Urquiza,-58.5015175,-34.56767549,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,70,61+
2016-0089,1,2016-07-14,2016,Julio,14,Jueves,Invierno,06:40:00,6,AV LUGONES Y LA PAMPA,AUTOPISTA,"LUGONES, LEOPOLDO AV.",True,Comuna 13,Belgrano,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,35,26-40
2016-0090,1,2016-07-14,2016,Julio,14,Jueves,Invierno,22:00:00,22,JERONIMO SALGUERO Y AV RIVADAVIA,AVENIDA,"SALGUERO, JERONIMO",True,Comuna 5,Almagro,-58.41971993,-34.6111224,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,60,61+
2016-0092,1,2016-07-15,2016,Julio,15,Viernes,Invierno,11:00:00,11,AV GRAL PAZ Y AV LIBERTADOR ,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 0,Límite o Afueras,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,24,19-25
2016-0093,1,2016-07-17,2016,Julio,17,Domingo,Invierno,03:30:00,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",True,Comuna 6,Caballito,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,35,26-40
2016-0095,1,2016-07-23,2016,Julio,23,Sábado,Invierno,06:12:00,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,MERCEDES,True,Comuna 11,Villa Devoto,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,29,26-40
2016-0096,1,2016-07-25,2016,Julio,25,Lunes,Invierno,07:00:00,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False,Comuna 8,Villa Lugano,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,25,26-40
2016-0097,1,2016-07-26,2016,Julio,26,Martes,Invierno,18:45:00,18,SOLIS Y MEXICO,CALLE,SOLIS,True,Comuna 1,Monserrat,-58.39038605,-34.6156281,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,80,61+
2016-0098,1,2016-07-27,2016,Julio,27,Miércoles,Invierno,16:08:00,16,AV SAN JUAN Y ALBERTI,AVENIDA,SAN JUAN AV.,True,Comuna 3,San Cristobal,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,FEMENINO,43,41-60
2016-0099,1,2016-07-29,2016,Julio,29,Viernes,Invierno,16:00:00,16,AV GRAL MOSCONI Y AV GRAL PAZ,GRAL PAZ,MOSCONI GENERAL AV.,True,Comuna 0,Límite o Afueras,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45,41-60
2016-0100,1,2016-08-03,2016,Agosto,3,Miércoles,Invierno,23:27:00,23,AV GRAL PAZ  Y DONADO,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 12,Saavedra,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,57,41-60
2016-0101,1,2016-08-07,2016,Agosto,7,Domingo,Invierno,19:42:00,19,AV GRAL PAZ Y JORGE CHAVEZ,GRAL PAZ,"PAZ, GRAL. AV.",True,Comuna 9,Liniers,-58.52932872,-34.65014993,SD-SD,SD,SD,CONDUCTOR,MASCULINO,67,61+
2016-0102,1,2016-08-10,2016,Agosto,10,Miércoles,Invierno,23:37:00,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,"PERON, EVA AV.",True,Comuna 9,Mataderos,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,29,26-40
2016-0104,1,2016-08-14,2016,Agosto,14,Domingo,Invierno,21:15:00,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,True,Comuna 9,Parque Avellaneda,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,19-25
2016-0105,1,2016-08-17,2016,Agosto,17,Miércoles,Invierno,00:05:00,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,"LACROZE, FEDERICO AV.",True,Comuna 15,Chacarita,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,19,19-25
