Hechos_Id,Número De Victimas,Fecha,Hora,Lugar Del Hecho,Cruce_Id,Tipo_Calle_Id,Comuna_Id,Participantes_Id,Víctima_Id,Acusado_Id,Rol_Id,Sexo_Id,Rango_Etario_Id,Edad
2017-0009,1,2017-01-16,13:56:00,AU 25 DE MAYO Y AV. BOEDO,2,4,5,6,1,5,1,1,3,36
2017-0010,1,2017-01-16,16:30:00,AV. DIRECTORIO Y RIGLOS,1,1,7,1,1,1,1,1,2,23
2017-0011,1,2017-01-22,02:30:00,AV. GRAL. PAZ Y AV. R. BALBIN,1,2,0,5,1,4,2,2,3,29
2017-0012,1,2017-01-24,14:00:00,TRAFUL Y DIOGENES TABORDA,1,3,4,6,1,5,1,1,3,30
2017-0013,1,2017-01-27,07:00:00,IRIARTE 3055,2,1,4,12,3,5,3,1,1,4
2017-0014,1,2017-01-28,08:27:34,AV. DONADO Y ARIAS,1,1,12,14,1,7,2,2,2,22
2017-0015,1,2017-02-02,15:18:03,CORDOBA AV. Y CALLAO,1,1,3,7,3,1,3,1,5,82
2017-0016,1,2017-02-03,05:12:21,"AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.",2,4,1,6,1,5,1,1,3,27
2017-0017,1,2017-02-06,08:00:00,AV. JUAN B JUSTO Y PARAGUAY,1,1,14,1,1,1,1,1,3,32
2017-0018,1,2017-02-09,07:00:00,AV. GRAL. PAZ Y AV. DE LOS CORRALES,1,2,0,1,1,1,1,1,3,30
2017-0021,1,2017-02-18,05:30:00,SARMIENTO Y LIBERTAD,1,3,1,4,1,2,1,1,4,43
2017-0024,1,2017-02-23,20:50:00,AV. RIVADAVIA 7121,2,1,7,9,3,2,3,1,3,39
2017-0025,1,2017-02-24,17:05:00,AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE,1,1,7,3,1,0,1,1,2,23
2017-0026,2,2017-02-26,05:15:00,AV. PERITO MORENO Y FOURNIER,1,1,4,11,2,4,2,2,2,23
2017-0026,2,2017-02-26,05:15:00,AV. PERITO MORENO Y FOURNIER,1,1,4,11,2,4,1,1,2,19
2017-0027,1,2017-02-26,21:57:00,AV. CASEROS 1429,2,1,1,7,3,1,3,1,5,61
2017-0028,1,2017-02-28,09:20:00,AV. GAONA Y FRAGATA SARMIENTO,1,1,6,7,3,1,3,1,5,87
2017-0029,1,2017-03-07,02:15:00,MOZART Y TANDIL,1,3,9,28,0,1,1,1,3,34
2017-0030,1,2017-03-07,08:00:00,MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE,1,1,9,2,2,2,1,2,3,27
2017-0031,1,2017-03-11,01:30:00,24 DE NOVIEMBRE Y PAVON ,1,3,3,11,2,4,2,1,5,70
2017-0032,1,2017-03-12,05:00:00,AV. GRAL. PAZ Y PEDRO DE MENDOZA,1,2,8,10,2,1,2,2,4,40
2017-0033,1,2017-03-12,07:30:00,AV. GRAL. PAZ KM. 10,1,2,11,10,2,1,1,1,3,28
2017-0034,1,2017-03-13,07:50:00,GODOY CRUZ 2651,2,3,14,7,3,1,3,1,4,43
2017-0035,3,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,1,1,11,2,4,1,1,3,28
2017-0035,3,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,1,1,11,2,4,2,1,3,32
2017-0035,3,2017-03-23,05:00:00,AV. DR. TRISTAN ACHAVAL RODRIGUEZ Y BLVD. AZUCENA VILLAFLOR,1,1,1,11,2,4,2,1,3,30
2017-0036,2,2017-03-29,18:00:00,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,1,2,12,4,1,2,2,2,2,22
2017-0036,2,2017-03-29,18:00:00,CURUPAYTI Y COLECTORA AV. GRAL. PAZ,1,2,12,4,1,2,1,1,2,20
2017-0037,1,2017-03-31,03:00:00,AV. INDEPENDENCIA Y VIRREY CEVALLOS,1,1,1,6,1,5,1,1,4,41
2017-0038,1,2017-04-01,19:00:00,AV. CASTAÑARES Y LAUTARO,1,1,7,1,1,1,1,2,4,40
2017-0040,1,2017-04-03,09:40:00,CAMINO CIUDAD UNUVERSITARIA Y AV. TTE. GUIRALDES,2,1,13,14,2,7,1,1,4,43
2017-0041,1,2017-04-03,23:15:00,BALDOMERO FERNANDEZ MORENO 2186,2,3,7,1,1,1,1,1,1,17
2017-0042,1,2017-04-10,09:00:00,AV. LEOPOLDO LUGONES PKM 6900,2,2,13,6,1,5,1,1,3,34
2017-0045,1,2017-04-14,06:15:00,NOGOYA 5940,2,3,10,5,1,4,1,1,2,21
2017-0047,1,2017-04-23,06:30:00,AV. ARGENTINA Y AV. CORVALAN,1,1,8,1,1,1,1,1,3,37
2017-0049,1,2017-04-27,18:16:00,AV. FERNANDEZ DE LA CRUZ Y VARELA,1,1,8,9,3,2,3,1,2,22
2017-0050,2,2017-04-28,11:08:08,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,2,4,10,6,1,5,1,1,4,46
2017-0050,2,2017-04-28,11:08:08,AU PERITO MORENO Y RAMAL ENLACE AU1/AU6,2,4,10,6,1,5,2,1,1,16
2017-0051,1,2017-05-01,03:47:47,AU DELLEPIANE 2400,2,4,8,10,2,1,1,1,3,33
2017-0052,1,2017-05-05,03:40:00,AV. GRAL. PAZ Y GOLETA JULIA,1,2,0,12,3,5,3,2,4,47
2017-0053,1,2017-05-05,20:16:22,VIEYTES Y VILLARINO,1,3,4,6,1,5,1,1,3,28
2017-0054,1,2017-05-07,21:00:00,AV. DE LOS CONSTITUYENTES Y PEDRO MORAN,1,1,15,1,1,1,2,2,2,20
2017-0055,1,2017-05-09,08:30:00,AV. DE LOS CONSTITUYENTES 4900,2,1,12,10,2,1,1,1,3,32
2017-0058,1,2017-05-09,23:10:00,AV. CORDOBA Y LIBERTAD,1,1,1,8,3,6,3,1,5,80
2017-0059,1,2017-05-11,09:24:00,BRASIL Y LIMA,1,3,1,9,3,2,3,2,3,39
2017-0060,1,2017-05-13,07:20:00,AV. ESCALADA Y AV. FERNANDEZ DE LA CRUZ,1,1,8,5,1,4,2,1,3,30
2017-0061,1,2017-05-15,13:29:30,PARAGUAY Y AV. CALLAO ,1,1,2,8,3,6,3,1,4,47
2017-0062,1,2017-05-15,16:00:00,AV. JUAN B JUSTO Y SAN BLAS,1,1,10,6,1,5,1,1,3,35
2017-0063,1,2017-05-17,10:13:00,CHILE Y AV. 9 DE JULIO,1,1,1,9,3,2,3,2,5,79
2017-0064,1,2017-05-20,05:00:00,MAIPU Y PERON,1,3,1,29,5,1,2,1,5,61
2017-0065,1,2017-05-22,16:00:00,AV. SUAREZ Y HERRERA,1,1,4,21,6,5,4,1,2,21
2017-0066,1,2017-05-22,18:10:00,AV. SAN MARTIN Y FRAGATA SARMIENTO,1,1,15,9,3,2,3,1,1,10
2017-0067,1,2017-05-23,02:45:00,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,1,1,7,6,1,5,1,1,2,21
2017-0068,1,2017-05-27,19:50:00,AV. TTE. FRANCISCO RABANAL 2950,2,1,8,5,1,4,1,1,3,32
2017-0069,1,2017-05-24,14:15:00,AV. GRAL. PAZ Y ULRICO SCHMIDL,1,2,0,3,1,0,1,1,3,39
2017-0070,1,2017-05-30,13:20:00,NUEVA YORK  3696,2,3,11,7,3,1,3,1,5,80
2017-0072,1,2017-06-03,23:20:00,AV. DE LOS CONSTITUYENTES Y VALLEJOS,1,1,12,10,2,1,1,1,3,25
2017-0073,1,2017-06-04,09:00:00,AV. CORRIENTES Y ECUADOR,1,1,3,1,1,1,1,1,2,19
2017-0074,1,2017-06-04,12:50:00,CASCO 133,2,3,9,0,0,0,1,1,5,70
