Hechos_Id,Rol,Sexo,Edad,Rango Etario
2018-0005,PEATON,MASCULINO,54,41-60
2018-0006,CICLISTA,FEMENINO,45,41-60
2018-0007,CONDUCTOR,MASCULINO,46,41-60
2018-0008,CONDUCTOR,FEMENINO,32,26-40
2018-0009,CONDUCTOR,MASCULINO,19,19-25
2018-0010,CONDUCTOR,MASCULINO,40,41-60
2018-0011,PEATON,MASCULINO,84,61+
2018-0012,CONDUCTOR,MASCULINO,20,19-25
2018-0013,CONDUCTOR,MASCULINO,44,41-60
2018-0014,PEATON,MASCULINO,60,61+
2018-0015,CONDUCTOR,MASCULINO,28,26-40
2018-0015,PASAJERO_ACOMPAÑANTE,MASCULINO,19,19-25
2018-0016,CONDUCTOR,MASCULINO,31,26-40
2018-0017,PEATON,MASCULINO,35,26-40
2018-0018,CONDUCTOR,MASCULINO,26,26-40
2018-0019,PEATON,FEMENINO,80,61+
2018-0020,CONDUCTOR,MASCULINO,26,26-40
2018-0021,PEATON,FEMENINO,62,61+
2018-0022,CONDUCTOR,MASCULINO,28,26-40
2018-0023,CONDUCTOR,MASCULINO,28,26-40
2018-0024,PEATON,MASCULINO,70,61+
2018-0025,PEATON,MASCULINO,70,61+
2018-0026,CONDUCTOR,MASCULINO,24,19-25
2018-0026,PASAJERO_ACOMPAÑANTE,MASCULINO,30,26-40
2018-0027,PEATON,FEMENINO,74,61+
2018-0028,PEATON,MASCULINO,71,61+
2018-0029,CONDUCTOR,MASCULINO,26,26-40
2018-0030,CONDUCTOR,MASCULINO,24,19-25
2018-0031,CONDUCTOR,MASCULINO,31,26-40
2018-0032,PEATON,MASCULINO,70,61+
2018-0033,CONDUCTOR,FEMENINO,42,41-60
2018-0034,PEATON,MASCULINO,24,19-25
2018-0035,PEATON,FEMENINO,39,26-40
2018-0036,CONDUCTOR,MASCULINO,37,26-40
2018-0037,PEATON,MASCULINO,84,61+
2018-0038,PEATON,FEMENINO,59,41-60
2018-0038,PEATON,MASCULINO,61,61+
2018-0039,PEATON,MASCULINO,37,26-40
2018-0040,PEATON,FEMENINO,43,41-60
2018-0041,PEATON,FEMENINO,78,61+
2018-0042,PASAJERO_ACOMPAÑANTE,MASCULINO,23,19-25
2018-0043,CONDUCTOR,MASCULINO,25,26-40
2018-0044,PEATON,FEMENINO,50,41-60
2018-0045,CONDUCTOR,MASCULINO,60,61+
2018-0046,PEATON,MASCULINO,11,0-18
2018-0047,PEATON,MASCULINO,82,61+
2018-0048,PEATON,MASCULINO,57,41-60
2018-0049,PEATON,FEMENINO,40,41-60
2018-0050,PEATON,FEMENINO,47,41-60
2018-0051,PEATON,FEMENINO,57,41-60
2018-0052,PEATON,MASCULINO,78,61+
2018-0053,CONDUCTOR,MASCULINO,43,41-60
2018-0054,PEATON,FEMENINO,86,61+
2018-0055,CONDUCTOR,MASCULINO,21,19-25
2018-0056,PEATON,FEMENINO,69,61+
2018-0057,CONDUCTOR,MASCULINO,33,26-40
2018-0058,CONDUCTOR,MASCULINO,26,26-40
2018-0059,CONDUCTOR,MASCULINO,54,41-60
2018-0060,PEATON,MASCULINO,51,41-60
2018-0061,CONDUCTOR,MASCULINO,51,41-60
2018-0062,PEATON,MASCULINO,32,26-40
2018-0063,PEATON,FEMENINO,28,26-40
2018-0064,CONDUCTOR,MASCULINO,30,26-40
2018-0065,CONDUCTOR,MASCULINO,35,26-40
2018-0066,PEATON,MASCULINO,73,61+
2018-0067,PASAJERO_ACOMPAÑANTE,FEMENINO,81,61+
2018-0068,CONDUCTOR,MASCULINO,21,19-25
2018-0069,CICLISTA,MASCULINO,20,19-25
2018-0070,CONDUCTOR,MASCULINO,33,26-40
2018-0071,CONDUCTOR,MASCULINO,61,61+
2018-0072,CONDUCTOR,MASCULINO,27,26-40
2018-0073,PEATON,FEMENINO,67,61+
2018-0074,CONDUCTOR,MASCULINO,25,26-40
2018-0075,PEATON,MASCULINO,23,19-25
2018-0076,CONDUCTOR,MASCULINO,73,61+
2018-0077,CONDUCTOR,MASCULINO,58,41-60
2018-0078,PEATON,MASCULINO,27,26-40
2018-0079,PEATON,MASCULINO,81,61+
2018-0080,PEATON,MASCULINO,26,26-40
2018-0081,PEATON,MASCULINO,35,26-40
2018-0082,CONDUCTOR,FEMENINO,17,0-18
2018-0083,CONDUCTOR,MASCULINO,16,0-18
2018-0084,PEATON,MASCULINO,45,41-60
2018-0085,PASAJERO_ACOMPAÑANTE,FEMENINO,22,19-25
2018-0085,CONDUCTOR,MASCULINO,30,26-40
2018-0086,PEATON,MASCULINO,40,41-60
2018-0087,PEATON,MASCULINO,75,61+
2018-0088,CONDUCTOR,MASCULINO,63,61+
2018-0089,PEATON,MASCULINO,80,61+
2018-0090,CONDUCTOR,MASCULINO,27,26-40
